"dato","fangst_i_kg"
"2014-09-09","895369"
"2014-09-10","467"
"2014-09-11","12089"
"2014-09-12","908"
"2014-09-13","1296"
"2014-09-15","416"
"2014-09-16","4853"
"2014-09-17","3378"
"2014-09-18","377217"
"2014-09-19","2118"
"2014-09-20","1512"
"2014-09-22","1060"
"2014-09-23","4774"
"2014-09-24","4124"
"2014-09-25","1532"
"2014-09-26","316449"
"2014-09-27","89"
"2014-09-29","587"
"2014-09-30","1122"
"2014-10-01","3182"
"2014-10-02","1033"
"2014-10-03","610419"
"2014-10-04","638"
"2014-10-05","496"
"2014-10-06","7641"
"2014-10-07","151691"
"2014-10-08","2458"
"2014-10-09","2049"
"2014-10-10","664275"
"2014-10-11","557590"
"2014-10-12","366"
"2014-10-13","29646"
"2014-10-14","4865"
"2014-10-15","6175"
"2014-10-16","5172"
"2014-10-17","15344"
"2014-10-18","1355"
"2014-10-19","150"
"2014-10-20","4305"
"2014-10-21","2731"
"2014-10-22","1316"
"2014-10-23","285"
"2014-10-24","974"
"2014-10-25","814"
"2014-10-26","438"
"2014-10-27","1176"
"2014-10-28","368069"
"2014-10-29","1171992"
"2014-10-30","1835"
"2014-10-31","2256"
"2014-11-01","2555"
"2014-11-03","1508"
"2014-11-04","97"
"2014-11-05","3059"
"2014-11-06","3889"
"2014-11-07","686969"
"2014-11-08","2513"
"2014-11-09","734"
"2014-11-10","2505"
"2014-11-11","242939"
"2014-11-12","185749"
"2014-11-13","8964"
"2014-11-14","6233"
"2014-11-15","2326"
"2014-11-16","515"
"2014-11-17","14156"
"2014-11-18","523561"
"2014-11-19","5207"
"2014-11-20","733325"
"2014-11-21","2225"
"2014-11-22","3327"
"2014-11-23","595"
"2014-11-24","358398"
"2014-11-25","4142"
"2014-11-26","218396"
"2014-11-27","180879"
"2014-11-28","7720"
"2014-11-29","134719"
"2014-11-30","39"
"2014-12-01","8795"
"2014-12-02","3110"
"2014-12-03","4305"
"2014-12-04","395"
"2014-12-05","314937"
"2014-12-06","96"
"2014-12-08","2051"
"2014-12-09","418421"
"2014-12-10","5026"
"2014-12-11","5894"
"2014-12-12","7044"
"2014-12-13","5943"
"2014-12-14","2219"
"2014-12-15","418787"
"2014-12-16","4309"
"2014-12-17","27356"
"2014-12-18","127565"
"2014-12-19","1236"
"2014-12-20","36"
"2014-12-21","173"
"2014-12-22","372858"
"2014-12-29","1835"
"2014-12-30","1242"
"2014-12-31","507"
"2015-01-02","2075"
"2015-01-03","11250"
"2015-01-04","9175"
"2015-01-05","53002"
"2015-01-06","28062"
"2015-01-07","69076"
"2015-01-08","67324"
"2015-01-09","82955"
"2015-01-10","60729"
"2015-01-11","110918"
"2015-01-12","111486"
"2015-01-13","40798"
"2015-01-14","220247"
"2015-01-15","120106"
"2015-01-16","129439"
"2015-01-17","121149"
"2015-01-18","35214"
"2015-01-19","183616"
"2015-01-20","462926"
"2015-01-21","198801"
"2015-01-22","238685"
"2015-01-23","188824"
"2015-01-24","155106"
"2015-01-25","219434"
"2015-01-26","160975"
"2015-01-27","126651"
"2015-01-28","385103"
"2015-01-29","94217"
"2015-01-30","114350"
"2015-01-31","436380"
"2015-02-01","676213"
"2015-02-02","356745"
"2015-02-03","659025"
"2015-02-04","647042"
"2015-02-05","199505"
"2015-02-06","155496"
"2015-02-07","41482"
"2015-02-08","12184"
"2015-02-09","601251"
"2015-02-10","12434"
"2015-02-11","24478"
"2015-02-12","161"
"2015-02-13","106851"
"2015-02-14","547273"
"2015-02-15","441519"
"2015-02-16","501715"
"2015-02-17","336271"
"2015-02-18","262584"
"2015-02-19","755613"
"2015-02-20","721643"
"2015-02-21","1034059"
"2015-02-22","502047"
"2015-02-23","801943"
"2015-02-24","1251595"
"2015-02-25","1128756"
"2015-02-26","937543"
"2015-02-27","901822"
"2015-02-28","298190"
"2015-03-01","246344"
"2015-03-02","658985"
"2015-03-03","1085043"
"2015-03-04","1598768"
"2015-03-05","1384915"
"2015-03-06","589215"
"2015-03-07","184442"
"2015-03-08","12441"
"2015-03-09","631089"
"2015-03-10","592652"
"2015-03-11","730323"
"2015-03-12","265459"
"2015-03-13","22194"
"2015-03-14","88756"
"2015-03-15","400189"
"2015-03-16","203461"
"2015-03-17","686697"
"2015-03-18","796323"
"2015-03-19","300383"
"2015-03-20","570674"
"2015-03-21","939161"
"2015-03-22","633602"
"2015-03-23","672150"
"2015-03-24","609176"
"2015-03-25","561219"
"2015-03-26","1074473"
"2015-03-27","907326"
"2015-03-28","290243"
"2015-03-29","290469"
"2015-03-30","527378"
"2015-03-31","579346"
"2015-04-01","1026077"
"2015-04-02","127432"
"2015-04-03","120901"
"2015-04-04","172423"
"2015-04-05","136066"
"2015-04-06","10193"
"2015-04-07","779673"
"2015-04-08","410576"
